random_subid,subid,condition,cond_duration,trial,word_id,word,category_num,category_arousal,category_valence,expected_onset,expected_offset,recorded_onset,trigger_start_time,adjusted_recorded_onset,adjusted_calc_offset,code_end_time,adjusted_code_end_time,expected_recorded_onset_diff
7c2d7864-aadf-4d34-8633-3f7ab53f66bb,sub-pseudo003,emotion_word,2,0,1,depressed,3,low,low,10,12,30.7624,20.758,10.0044,12.0044,348.7601,328.0021,0.0044
7c2d7864-aadf-4d34-8633-3f7ab53f66bb,sub-pseudo003,emotion_word,2,1,2,alarmed,2,high,low,14,16,34.7634,20.758,14.0054,16.0054,348.7601,328.0021,0.0054
7c2d7864-aadf-4d34-8633-3f7ab53f66bb,sub-pseudo003,emotion_word,2,2,3,pleased,4,low,high,18,20,38.763,20.758,18.005,20.005,348.7601,328.0021,0.005
7c2d7864-aadf-4d34-8633-3f7ab53f66bb,sub-pseudo003,emotion_word,2,3,4,distressed,2,high,low,22,24,42.7648,20.758,22.0068,24.0068,348.7601,328.0021,0.0068
7c2d7864-aadf-4d34-8633-3f7ab53f66bb,sub-pseudo003,emotion_word,2,4,5,annoyed,2,high,low,26,28,46.7626,20.758,26.0046,28.0046,348.7601,328.0021,0.0046
7c2d7864-aadf-4d34-8633-3f7ab53f66bb,sub-pseudo003,emotion_word,2,5,6,satisfied,4,low,high,30,32,50.7625,20.758,30.0045,32.0045,348.7601,328.0021,0.0045
7c2d7864-aadf-4d34-8633-3f7ab53f66bb,sub-pseudo003,emotion_word,2,6,7,astonished,1,high ,high,34,36,54.7616,20.758,34.0036,36.0036,348.7601,328.0021,0.0036
7c2d7864-aadf-4d34-8633-3f7ab53f66bb,sub-pseudo003,emotion_word,2,7,8,afraid,2,high,low,38,40,58.7634,20.758,38.0054,40.0054,348.7601,328.0021,0.0054
7c2d7864-aadf-4d34-8633-3f7ab53f66bb,sub-pseudo003,emotion_word,2,8,9,calm,4,low,high,42,44,62.7639,20.758,42.0059,44.0059,348.7601,328.0021,0.0059
7c2d7864-aadf-4d34-8633-3f7ab53f66bb,sub-pseudo003,emotion_word,2,9,10,sleepy,4,low,high,46,48,66.763,20.758,46.005,48.005,348.7601,328.0021,0.005
7c2d7864-aadf-4d34-8633-3f7ab53f66bb,sub-pseudo003,emotion_word,2,10,11,frustrated,2,high,low,50,52,70.7643,20.758,50.0063,52.0063,348.7601,328.0021,0.0063
7c2d7864-aadf-4d34-8633-3f7ab53f66bb,sub-pseudo003,emotion_word,2,11,12,content,4,low,high,54,56,74.7629,20.758,54.0049,56.0049,348.7601,328.0021,0.0049
7c2d7864-aadf-4d34-8633-3f7ab53f66bb,sub-pseudo003,emotion_word,2,12,13,angry,2,high,low,58,60,78.7627,20.758,58.0047,60.0047,348.7601,328.0021,0.0047
7c2d7864-aadf-4d34-8633-3f7ab53f66bb,sub-pseudo003,emotion_word,2,13,14,droopy,3,low,low,62,64,82.7632,20.758,62.0052,64.0052,348.7601,328.0021,0.0052
