random_subid,subid,condition,cond_duration,trial,word_id,word,category_num,category_arousal,category_valence,expected_onset,expected_offset,recorded_onset,trigger_start_time,adjusted_recorded_onset,adjusted_calc_offset,code_end_time,adjusted_code_end_time,expected_recorded_onset_diff
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,0,1,depressed,3,low,low,10,12,112.1651,102.1597,10.0054,12.0054,430.161,328.0013,0.0054
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,1,2,alarmed,3,high,low,14,16,116.1654,102.1597,14.0057,16.0057,430.161,328.0013,0.0057
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,2,3,pleased,4,low,high,18,20,120.1647,102.1597,18.005,20.005,430.161,328.0013,0.005
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,3,4,distressed,2,high,low,22,24,124.1662,102.1597,22.0065,24.0065,430.161,328.0013,0.0065
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,4,5,annoyed,2,high,low,26,28,128.1646,102.1597,26.0049,28.0049,430.161,328.0013,0.0049
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,5,6,satisfied,4,low,high,30,32,132.1643,102.1597,30.0046,32.0046,430.161,328.0013,0.0046
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,6,7,astonished,1,high ,high,34,36,136.1648,102.1597,34.0051,36.0051,430.161,328.0013,0.0051
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,7,8,afraid,2,high,low,38,40,140.1649,102.1597,38.0052,40.0052,430.161,328.0013,0.0052
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,8,9,calm,4,low,high,42,44,144.1659,102.1597,42.0062,44.0062,430.161,328.0013,0.0062
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,9,10,sleepy,4,low,high,46,48,148.1653,102.1597,46.0056,48.0056,430.161,328.0013,0.0056
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,10,11,frustrated,2,high,low,50,52,152.1662,102.1597,50.0065,52.0065,430.161,328.0013,0.0065
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,11,12,content,4,low,high,54,56,156.1646,102.1597,54.0049,56.0049,430.161,328.0013,0.0049
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,12,13,angry,2,high,low,58,60,160.1653,102.1597,58.0056,60.0056,430.161,328.0013,0.0056
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,13,14,droopy,3,low,low,62,64,164.1647,102.1597,62.005,64.005,430.161,328.0013,0.005
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,14,15,tired,3,low,low,66,68,168.1646,102.1597,66.0049,68.0049,430.161,328.0013,0.0049
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,15,16,excited,1,high ,high,70,72,172.1651,102.1597,70.0054,72.0054,430.161,328.0013,0.0054
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,16,17,bored,3,low,low,74,76,176.1647,102.1597,74.005,76.005,430.161,328.0013,0.005
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,17,18,aroused,1,high ,high,78,80,180.1649,102.1597,78.0052,80.0052,430.161,328.0013,0.0052
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,18,19,glad,1,high ,high,82,84,184.1643,102.1597,82.0046,84.0046,430.161,328.0013,0.0046
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,19,20,serene,4,low,high,86,88,188.1648,102.1597,86.0051,88.0051,430.161,328.0013,0.0051
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,20,21,amused,1,high ,high,90,92,192.1645,102.1597,90.0048,92.0048,430.161,328.0013,0.0048
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,21,22,delighted,1,high ,high,94,96,196.166,102.1597,94.0063,96.0063,430.161,328.0013,0.0063
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,22,23,gloomy,3,low,low,98,100,200.1652,102.1597,98.0055,100.0055,430.161,328.0013,0.0055
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,23,24,miserable,3,low,low,112,114,214.1643,102.1597,112.0046,114.0046,430.161,328.0013,0.0046
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,24,10,sleepy,4,low,high,116,118,218.1661,102.1597,116.0064,118.0064,430.161,328.0013,0.0064
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,25,8,afraid,2,high,low,120,122,222.1652,102.1597,120.0055,122.0055,430.161,328.0013,0.0055
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,26,13,angry,2,high,low,124,126,226.1647,102.1597,124.005,126.005,430.161,328.0013,0.005
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,27,16,excited,1,high ,high,128,130,230.1643,102.1597,128.0046,130.0046,430.161,328.0013,0.0046
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,28,22,delighted,1,high ,high,132,134,234.1645,102.1597,132.0048,134.0048,430.161,328.0013,0.0048
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,29,17,bored,3,low,low,136,138,238.1649,102.1597,136.0052,138.0052,430.161,328.0013,0.0052
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,30,11,frustrated,2,high,low,140,142,242.1642,102.1597,140.0045,142.0045,430.161,328.0013,0.0045
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,31,15,tired,3,low,low,144,146,246.1652,102.1597,144.0055,146.0055,430.161,328.0013,0.0055
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,32,20,serene,4,low,high,148,150,250.1652,102.1597,148.0055,150.0055,430.161,328.0013,0.0055
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,33,4,distressed,2,high,low,152,154,254.1654,102.1597,152.0057,154.0057,430.161,328.0013,0.0057
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,34,19,glad,1,high ,high,156,158,258.164,102.1597,156.0043,158.0043,430.161,328.0013,0.0043
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,35,23,gloomy,3,low,low,160,162,262.1652,102.1597,160.0055,162.0055,430.161,328.0013,0.0055
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,36,5,annoyed,2,high,low,164,166,266.1651,102.1597,164.0054,166.0054,430.161,328.0013,0.0054
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,37,6,satisfied,4,low,high,168,170,270.1645,102.1597,168.0048,170.0048,430.161,328.0013,0.0048
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,38,24,miserable,3,low,low,172,174,274.1647,102.1597,172.005,174.005,430.161,328.0013,0.005
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,39,21,amused,1,high ,high,176,178,278.1644,102.1597,176.0047,178.0047,430.161,328.0013,0.0047
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,40,3,pleased,4,low,high,180,182,282.1648,102.1597,180.0051,182.0051,430.161,328.0013,0.0051
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,41,1,depressed,3,low,low,184,186,286.165,102.1597,184.0053,186.0053,430.161,328.0013,0.0053
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,42,14,droopy,3,low,low,188,190,290.1647,102.1597,188.005,190.005,430.161,328.0013,0.005
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,43,12,content,4,low,high,192,194,294.1647,102.1597,192.005,194.005,430.161,328.0013,0.005
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,44,7,astonished,1,high ,high,196,198,298.1648,102.1597,196.0051,198.0051,430.161,328.0013,0.0051
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,45,9,calm,4,low,high,200,202,302.1646,102.1597,200.0049,202.0049,430.161,328.0013,0.0049
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,46,18,aroused,1,high ,high,204,206,306.1647,102.1597,204.005,206.005,430.161,328.0013,0.005
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,47,2,alarmed,2,high,low,218,220,320.1648,102.1597,218.0051,220.0051,430.161,328.0013,0.0051
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,48,8,afraid,2,high,low,222,224,324.1644,102.1597,222.0047,224.0047,430.161,328.0013,0.0047
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,49,24,miserable,3,low,low,226,228,328.1654,102.1597,226.0057,228.0057,430.161,328.0013,0.0057
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,50,17,bored,3,low,low,230,232,332.166,102.1597,230.0063,232.0063,430.161,328.0013,0.0063
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,51,14,droopy,3,low,low,234,236,336.165,102.1597,234.0053,236.0053,430.161,328.0013,0.0053
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,52,19,glad,1,high ,high,238,240,340.1642,102.1597,238.0045,240.0045,430.161,328.0013,0.0045
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,53,10,sleepy,4,low,high,242,244,344.1642,102.1597,242.0045,244.0045,430.161,328.0013,0.0045
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,54,20,serene,4,low,high,246,248,348.1646,102.1597,246.0049,248.0049,430.161,328.0013,0.0049
