random_subid,subid,condition,cond_duration,trial,word_id,word,category_num,category_arousal,category_valence,expected_onset,expected_offset,recorded_onset,trigger_start_time,adjusted_recorded_onset,adjusted_calc_offset,code_end_time,adjusted_code_end_time,expected_recorded_onset_diff
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,32,20,serene,4,low,high,148,150,170.5699,22.5649,148.005,150.005,350.5665,328.0016,0.005
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,33,4,distressed,2,high,low,152,154,174.5714,22.5649,152.0065,154.0065,350.5665,328.0016,0.0065
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,34,19,glad,1,high ,high,156,158,178.5697,22.5649,156.0048,158.0048,350.5665,328.0016,0.0048
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,35,23,gloomy,3,low,low,160,162,182.5709,22.5649,160.006,162.006,350.5665,328.0016,0.006
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,36,5,annoyed,2,high,low,164,166,186.5696,22.5649,164.0047,166.0047,350.5665,328.0016,0.0047
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,37,6,satisfied,4,low,high,168,170,190.569,22.5649,168.0041,170.0041,350.5665,328.0016,0.0041
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,38,24,miserable,3,low,low,172,174,194.5711,22.5649,172.0062,174.0062,350.5665,328.0016,0.0062
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,39,21,amused,1,high ,high,176,178,198.5707,22.5649,176.0058,178.0058,350.5665,328.0016,0.0058
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,40,3,pleased,4,low,high,180,182,202.5699,22.5649,180.005,182.005,350.5665,328.0016,0.005
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,41,1,depressed,3,low,low,184,186,206.5712,22.5649,184.0063,186.0063,350.5665,328.0016,0.0063
