filename	acq_time	operator	randstr
anat/sub-001_ses-01_scout1.nii.gz	2026-03-02T14:10:59	n/a	164e1034
anat/sub-001_ses-01_scout2.nii.gz	2026-03-02T14:10:59	n/a	164e1034
anat/sub-001_ses-01_scout3.nii.gz	2026-03-02T14:10:59	n/a	164e1034
anat/sub-001_ses-01_scout__dup-01.nii.gz	2026-03-02T14:10:59	n/a	6040d618
anat/sub-001_ses-01_scout__dup-021.nii.gz	2026-03-02T14:10:59	n/a	13428792
anat/sub-001_ses-01_scout__dup-022.nii.gz	2026-03-02T14:10:59	n/a	13428792
anat/sub-001_ses-01_scout__dup-023.nii.gz	2026-03-02T14:10:59	n/a	13428792
anat/sub-001_ses-01_scout__dup-024.nii.gz	2026-03-02T14:10:59	n/a	13428792
anat/sub-001_ses-01_scout__dup-031.nii.gz	2026-03-02T14:10:59	n/a	48558fbc
anat/sub-001_ses-01_scout__dup-032.nii.gz	2026-03-02T14:10:59	n/a	48558fbc
anat/sub-001_ses-01_scout__dup-033.nii.gz	2026-03-02T14:10:59	n/a	48558fbc
anat/sub-001_ses-01_T1w.nii.gz	2026-03-02T14:17:25	n/a	5f72629f
func/sub-001_ses-01_task-langXlocal_run-01_bold.nii.gz	2026-03-02T14:20:47	n/a	9a02a283
func/sub-001_ses-01_task-langXtask_run-01_bold.nii.gz	2026-03-02T14:29:25	n/a	44fc194e
func/sub-001_ses-01_task-perceptXbind_run-01_bold.nii.gz	2026-03-02T14:38:05	n/a	9be213d0
func/sub-001_ses-01_task-moral_run-01_bold.nii.gz	2026-03-02T14:56:47	n/a	f9c6df59
func/sub-001_ses-01_task-perceptXbindX2_run-01_bold.nii.gz	2026-03-02T15:00:05	n/a	168058d3
func/sub-001_ses-01_task-perceptXbindX3_run-01_bold.nii.gz	2026-03-02T15:10:05	n/a	9d00563e
func/sub-001_ses-01_task-perceptXbindX4_run-01_bold.nii.gz	2026-03-02T15:25:07	n/a	56edf7a5
fmap/sub-001_ses-01_dir-AP_epi.nii.gz	2026-03-02T15:37:25	n/a	f2221400
fmap/sub-001_ses-01_dir-PA_epi.nii.gz	2026-03-02T15:38:45	n/a	7d87ac29
