filename	acq_time	operator	randstr
anat/sub-002_ses-01_scout__dup-01.nii.gz	2026-03-02T15:51:47	n/a	bb97132d
anat/sub-002_ses-01_scout1.nii.gz	2026-03-02T15:51:48	n/a	2b3dfe52
anat/sub-002_ses-01_scout2.nii.gz	2026-03-02T15:51:48	n/a	2b3dfe52
anat/sub-002_ses-01_scout3.nii.gz	2026-03-02T15:51:48	n/a	2b3dfe52
anat/sub-002_ses-01_scout__dup-021.nii.gz	2026-03-02T15:51:48	n/a	1ff62155
anat/sub-002_ses-01_scout__dup-022.nii.gz	2026-03-02T15:51:48	n/a	1ff62155
anat/sub-002_ses-01_scout__dup-023.nii.gz	2026-03-02T15:51:48	n/a	1ff62155
anat/sub-002_ses-01_scout__dup-024.nii.gz	2026-03-02T15:51:48	n/a	1ff62155
anat/sub-002_ses-01_scout__dup-031.nii.gz	2026-03-02T15:51:48	n/a	5e72a3a1
anat/sub-002_ses-01_scout__dup-032.nii.gz	2026-03-02T15:51:48	n/a	5e72a3a1
anat/sub-002_ses-01_scout__dup-033.nii.gz	2026-03-02T15:51:48	n/a	5e72a3a1
anat/sub-002_ses-01_T1w.nii.gz	2026-03-02T15:58:05	n/a	e89fd536
func/sub-002_ses-01_task-moral_run-01_bold.nii.gz	2026-03-02T16:01:18	n/a	84d62226
func/sub-002_ses-01_task-moralX2_run-01_bold.nii.gz	2026-03-02T16:05:25	n/a	4adfe5d2
func/sub-002_ses-01_task-moralX3_run-01_bold.nii.gz	2026-03-02T16:11:25	n/a	8b1b90ad
func/sub-002_ses-01_task-moralX4_run-01_bold.nii.gz	2026-03-02T16:19:15	n/a	9d4d203f
func/sub-002_ses-01_task-moralX5_run-01_bold.nii.gz	2026-03-02T16:21:38	n/a	b3e1952a
func/sub-002_ses-01_task-perceptXbind_run-01_bold.nii.gz	2026-03-02T16:26:05	n/a	bafddb3e
func/sub-002_ses-01_task-langXlocal_run-01_bold.nii.gz	2026-03-02T17:03:47	n/a	04564dd3
func/sub-002_ses-01_task-langXtask_run-01_bold.nii.gz	2026-03-02T17:11:05	n/a	dc004027
fmap/sub-002_ses-01_dir-AP_epi.nii.gz	2026-03-02T17:16:45	n/a	634002c5
fmap/sub-002_ses-01_dir-PA_epi.nii.gz	2026-03-02T17:17:47	n/a	0ac95dd8
