filename	acq_time	operator	randstr
anat/sub-003_ses-01_scout__dup-01.nii.gz	2026-03-04T16:06:29	n/a	856e6dfb
anat/sub-003_ses-01_scout1.nii.gz	2026-03-04T16:06:30	n/a	e7cd3391
anat/sub-003_ses-01_scout2.nii.gz	2026-03-04T16:06:30	n/a	e7cd3391
anat/sub-003_ses-01_scout3.nii.gz	2026-03-04T16:06:30	n/a	e7cd3391
anat/sub-003_ses-01_scout__dup-021.nii.gz	2026-03-04T16:06:30	n/a	edaef238
anat/sub-003_ses-01_scout__dup-022.nii.gz	2026-03-04T16:06:30	n/a	edaef238
anat/sub-003_ses-01_scout__dup-023.nii.gz	2026-03-04T16:06:30	n/a	edaef238
anat/sub-003_ses-01_scout__dup-024.nii.gz	2026-03-04T16:06:30	n/a	edaef238
anat/sub-003_ses-01_scout__dup-031.nii.gz	2026-03-04T16:06:30	n/a	3a41d30a
anat/sub-003_ses-01_scout__dup-032.nii.gz	2026-03-04T16:06:30	n/a	3a41d30a
anat/sub-003_ses-01_scout__dup-033.nii.gz	2026-03-04T16:06:30	n/a	3a41d30a
anat/sub-003_ses-01_acq-08mmXMPR_T1w.nii.gz	2026-03-04T16:15:03	n/a	a42aec1b
func/sub-003_ses-01_task-langXlocal_run-01_bold.nii.gz	2026-03-04T16:19:07	n/a	2dc244db
func/sub-003_ses-01_task-langXtask_run-01_bold.nii.gz	2026-03-04T16:26:05	n/a	cdfa0108
func/sub-003_ses-01_task-moral_run-01_bold.nii.gz	2026-03-04T16:35:45	n/a	d484f668
anat/sub-003_ses-01_acq-08mmXT2SPACE_T2w.nii.gz	2026-03-04T16:52:16	n/a	4824640f
fmap/sub-003_ses-01_dir-AP_epi.nii.gz	2026-03-04T16:53:05	n/a	3a2d41fe
fmap/sub-003_ses-01_dir-PA_epi.nii.gz	2026-03-04T16:53:47	n/a	f94fbc48
