subid,trial,category
9e878740-fa8c-4bf2-8c57-119de91fa1de,0,S
9e878740-fa8c-4bf2-8c57-119de91fa1de,1,S
9e878740-fa8c-4bf2-8c57-119de91fa1de,2,S
9e878740-fa8c-4bf2-8c57-119de91fa1de,3,N
9e878740-fa8c-4bf2-8c57-119de91fa1de,4,N
9e878740-fa8c-4bf2-8c57-119de91fa1de,5,N
9e878740-fa8c-4bf2-8c57-119de91fa1de,6,N
9e878740-fa8c-4bf2-8c57-119de91fa1de,7,N
9e878740-fa8c-4bf2-8c57-119de91fa1de,8,N
9e878740-fa8c-4bf2-8c57-119de91fa1de,9,S
9e878740-fa8c-4bf2-8c57-119de91fa1de,10,S
9e878740-fa8c-4bf2-8c57-119de91fa1de,11,S
9e878740-fa8c-4bf2-8c57-119de91fa1de,12,N
9e878740-fa8c-4bf2-8c57-119de91fa1de,13,N
9e878740-fa8c-4bf2-8c57-119de91fa1de,14,N
9e878740-fa8c-4bf2-8c57-119de91fa1de,15,S
9e878740-fa8c-4bf2-8c57-119de91fa1de,16,S
9e878740-fa8c-4bf2-8c57-119de91fa1de,17,S
9e878740-fa8c-4bf2-8c57-119de91fa1de,18,N
9e878740-fa8c-4bf2-8c57-119de91fa1de,19,N
9e878740-fa8c-4bf2-8c57-119de91fa1de,20,N
9e878740-fa8c-4bf2-8c57-119de91fa1de,21,S
9e878740-fa8c-4bf2-8c57-119de91fa1de,22,S
9e878740-fa8c-4bf2-8c57-119de91fa1de,23,S
9e878740-fa8c-4bf2-8c57-119de91fa1de,24,S
9e878740-fa8c-4bf2-8c57-119de91fa1de,25,S
9e878740-fa8c-4bf2-8c57-119de91fa1de,26,S
9e878740-fa8c-4bf2-8c57-119de91fa1de,27,N
9e878740-fa8c-4bf2-8c57-119de91fa1de,28,N
9e878740-fa8c-4bf2-8c57-119de91fa1de,29,N
9e878740-fa8c-4bf2-8c57-119de91fa1de,30,S
9e878740-fa8c-4bf2-8c57-119de91fa1de,31,S
9e878740-fa8c-4bf2-8c57-119de91fa1de,32,S
9e878740-fa8c-4bf2-8c57-119de91fa1de,33,N
9e878740-fa8c-4bf2-8c57-119de91fa1de,34,N
9e878740-fa8c-4bf2-8c57-119de91fa1de,35,N
9e878740-fa8c-4bf2-8c57-119de91fa1de,36,N
9e878740-fa8c-4bf2-8c57-119de91fa1de,37,N
9e878740-fa8c-4bf2-8c57-119de91fa1de,38,N
9e878740-fa8c-4bf2-8c57-119de91fa1de,39,S
9e878740-fa8c-4bf2-8c57-119de91fa1de,40,S
9e878740-fa8c-4bf2-8c57-119de91fa1de,41,S
9e878740-fa8c-4bf2-8c57-119de91fa1de,42,S
9e878740-fa8c-4bf2-8c57-119de91fa1de,43,S
9e878740-fa8c-4bf2-8c57-119de91fa1de,44,S
9e878740-fa8c-4bf2-8c57-119de91fa1de,45,N
9e878740-fa8c-4bf2-8c57-119de91fa1de,46,N
9e878740-fa8c-4bf2-8c57-119de91fa1de,47,N
