subid,trial,category
ea560327-34d6-4b89-8b26-911709968cb7,0,S
ea560327-34d6-4b89-8b26-911709968cb7,1,S
ea560327-34d6-4b89-8b26-911709968cb7,2,S
ea560327-34d6-4b89-8b26-911709968cb7,3,N
ea560327-34d6-4b89-8b26-911709968cb7,4,N
ea560327-34d6-4b89-8b26-911709968cb7,5,N
ea560327-34d6-4b89-8b26-911709968cb7,6,N
ea560327-34d6-4b89-8b26-911709968cb7,7,N
ea560327-34d6-4b89-8b26-911709968cb7,8,N
ea560327-34d6-4b89-8b26-911709968cb7,9,S
ea560327-34d6-4b89-8b26-911709968cb7,10,S
ea560327-34d6-4b89-8b26-911709968cb7,11,S
ea560327-34d6-4b89-8b26-911709968cb7,12,N
ea560327-34d6-4b89-8b26-911709968cb7,13,N
ea560327-34d6-4b89-8b26-911709968cb7,14,N
ea560327-34d6-4b89-8b26-911709968cb7,15,S
ea560327-34d6-4b89-8b26-911709968cb7,16,S
ea560327-34d6-4b89-8b26-911709968cb7,17,S
ea560327-34d6-4b89-8b26-911709968cb7,18,N
ea560327-34d6-4b89-8b26-911709968cb7,19,N
ea560327-34d6-4b89-8b26-911709968cb7,20,N
ea560327-34d6-4b89-8b26-911709968cb7,21,S
ea560327-34d6-4b89-8b26-911709968cb7,22,S
ea560327-34d6-4b89-8b26-911709968cb7,23,S
ea560327-34d6-4b89-8b26-911709968cb7,24,S
ea560327-34d6-4b89-8b26-911709968cb7,25,S
ea560327-34d6-4b89-8b26-911709968cb7,26,S
ea560327-34d6-4b89-8b26-911709968cb7,27,N
ea560327-34d6-4b89-8b26-911709968cb7,28,N
ea560327-34d6-4b89-8b26-911709968cb7,29,N
ea560327-34d6-4b89-8b26-911709968cb7,30,S
ea560327-34d6-4b89-8b26-911709968cb7,31,S
ea560327-34d6-4b89-8b26-911709968cb7,32,S
ea560327-34d6-4b89-8b26-911709968cb7,33,N
ea560327-34d6-4b89-8b26-911709968cb7,34,N
ea560327-34d6-4b89-8b26-911709968cb7,35,N
ea560327-34d6-4b89-8b26-911709968cb7,36,N
ea560327-34d6-4b89-8b26-911709968cb7,37,N
ea560327-34d6-4b89-8b26-911709968cb7,38,N
ea560327-34d6-4b89-8b26-911709968cb7,39,S
ea560327-34d6-4b89-8b26-911709968cb7,40,S
ea560327-34d6-4b89-8b26-911709968cb7,41,S
ea560327-34d6-4b89-8b26-911709968cb7,42,S
ea560327-34d6-4b89-8b26-911709968cb7,43,S
ea560327-34d6-4b89-8b26-911709968cb7,44,S
ea560327-34d6-4b89-8b26-911709968cb7,45,N
ea560327-34d6-4b89-8b26-911709968cb7,46,N
ea560327-34d6-4b89-8b26-911709968cb7,47,N
